Week,Day,Article_ID,Pillar,Sub_Pillar,Article_Title,URL_Slug,Primary_Keyword,Secondary_Keywords,Search_Intent,User_Awareness_Stage,Difficulty,Monthly_Traffic_Potential,AI_Visibility_Potential,Suggested_Angle,Word_Count,Schema_Markup,EEAT_Opportunity,Internal_Links_From_This_Article,Internal_Links_To_This_Article,Anchor_Text_Suggestions,Suggested_CTA,Monetization_Opportunity,Priority_Score,Notes
1,1,P1-HUB,P1 - Gamepad Testing & Diagnostics,HUB PAGE,Gamepad Tester Online — Test Your Controller in Your Browser,/,gamepad tester online,"controller tester, test gamepad, online controller test",Navigational,Aware,Low,50000,Very High,Main landing page + tool embed. Explain what the tester checks: buttons / sticks / triggers / vibration / deadzone. Add FAQs.,2000,SoftwareApp + FAQPage,Show real browser screenshot of tool detecting controller; add 'Last tested: [date]',P1-01 P1-02 P1-03 P1-04 P1-05 P1-06 P2-HUB P3-HUB,"All P1 cluster articles link back here","test your controller, use the gamepad tester, try the online controller test","[CTA button] Test Your Controller Now — Free",AdSense display + tool engagement,100,This is the homepage / tool page. Must have SoftwareApp schema. All roads lead here.
1,1,P1-01,P1 - Gamepad Testing & Diagnostics,How to Use the Tester,How to Use an Online Gamepad Tester — Complete Guide,/how-to-use-gamepad-tester,how to use gamepad tester online,"gamepad tester guide, test controller browser, online controller checker tutorial",How-to,Unaware,Low,12000,Very High,Step-by-step with screenshots of each stage: plug in → browser detects → test each input. Include Chrome + Firefox + Edge.,1800,HowTo + FAQPage,"Screenshot every step with real controller. Add 'Tested on [date] with [browsers]'",P1-HUB P1-02 P1-03 P1-04 P3-01 P3-09,P1-HUB,"use our online gamepad tester, test your controller here, open the controller tester","Test Your Gamepad Now →",AdSense display,95,First article to publish. Sets up all future internal links.
1,1,P1-02,P1 - Gamepad Testing & Diagnostics,Test All Buttons,How to Test All Gamepad Buttons Online — Step by Step,/test-gamepad-buttons-online,test gamepad buttons online,"check controller buttons, all gamepad buttons test, controller button checker",How-to,Aware,Low,18000,High,Cover every button type: face buttons / bumpers / triggers-as-buttons / d-pad / sticks-as-buttons / touchpad. Add expected vs actual output table.,1600,HowTo + FAQPage,Real screenshot of each button lighting up in tester,P1-HUB P1-01 P1-05 P1-06 P2-03 P2-HUB,"test your gamepad buttons, check all controller buttons","Find a broken button? See our fix guide →",AdSense display,94,High search volume. Link to troubleshooting when button fails.
1,2,P1-03,P1 - Gamepad Testing & Diagnostics,Analog Stick Test,How to Test Analog Stick Drift Online — Detect It in 60 Seconds,/test-analog-stick-drift-online,test analog stick drift online,"analog stick drift test, joystick drift checker, test controller drift",How-to,Problem Aware,Low,25000,Very High,What normal looks like vs drift. Show axis value readout. Step-by-step with PS5 / Xbox / Switch examples. Link to fix guide.,2000,HowTo + FAQPage,Video or GIF of drift visible in tester output,P1-HUB P1-01 P1-04 P2-01 P2-11 P2-12,"test your analog stick, detect stick drift online, check for controller drift","Stick drift confirmed? Here's how to fix it →",AdSense display,96,Highest-value article. Massive search volume for drift detection.
1,2,P1-04,P1 - Gamepad Testing & Diagnostics,Trigger Test,How to Test Gamepad Triggers Online — Analog + Digital,/test-gamepad-triggers-online,test gamepad triggers online,"controller trigger test, trigger pressure test, analog trigger checker",How-to,Aware,Low,8000,High,Explain analog vs digital triggers. Show pressure curve values. Cover L2/R2/LT/RT across PS/Xbox/Switch.,1500,HowTo + FAQPage,Screenshot showing trigger pressure curve in tester,P1-HUB P1-01 P1-02 P2-05 P5-03,"test your controller triggers, check trigger sensitivity","Trigger not responding? See our fix guide →",AdSense display,88,Good cluster article. Supports P2-05 troubleshooting.
1,2,P1-05,P1 - Gamepad Testing & Diagnostics,Vibration Test,How to Test Controller Vibration / Rumble Online,/test-controller-vibration-online,test controller vibration online,"controller rumble test, gamepad vibration checker, test haptic feedback",How-to,Aware,Low,6000,Medium,Cover left/right motor separately. DualSense haptics vs standard rumble. What to expect if vibration is broken.,1400,HowTo + FAQPage,Real test screenshot showing vibration motor values,P1-HUB P1-01 P2-06 P6-01 P6-HUB,"test your controller vibration, check haptic feedback","Vibration not working? Here's why →",AdSense display,82,Bridge to technology pillar (haptics explainer).
1,3,P1-06,P1 - Gamepad Testing & Diagnostics,Controller Not Detected,Gamepad Not Detected in Browser — 7 Fixes That Work,/gamepad-not-detected-browser,gamepad not detected browser,"controller not showing in browser, gamepad not recognized online, browser not detecting controller",Troubleshooting,Problem Aware,Medium,22000,Very High,Most common issue. Cover: USB not plugged in / wrong port / browser permissions / no button press yet / driver issue / Xinput vs HID. Chrome vs Firefox differences.,2200,FAQPage + HowTo,Test each fix on real hardware and document results with browser version numbers,P1-HUB P1-01 P2-HUB P2-10 P3-HUB P6-04,"fix gamepad not detected, controller not showing browser","Still not working? Check our full troubleshooting guide →",AdSense display,95,Extremely high traffic potential. Bridges P1 to P2.
1,3,P2-HUB,P2 - Troubleshooting & Repair,HUB PAGE,Controller Troubleshooting Guide — Fix Every Gamepad Problem,/controller-troubleshooting-guide,controller troubleshooting guide,"fix gamepad problems, gamepad not working, controller repair guide",Informational / Navigational,Problem Aware,Medium,30000,Very High,Hub page linking to all troubleshooting sub-topics. Intro: 'Use our tester first to diagnose.' Categorize by symptom.,2500,FAQPage + Article,Structured symptom → solution table with real test results,P1-HUB P2-01 P2-02 P2-03 P2-04 P2-05 P2-06 P2-07 P2-08 P2-09 P2-10 P2-11 P2-12 P1-06,"All P2 cluster articles link here","controller troubleshooting guide, fix gamepad problems","Diagnose your controller first — use our free tester →",AdSense display,98,Second most important hub after homepage.
1,3,P2-01,P2 - Troubleshooting & Repair,Stick Drift Fix,How to Fix Stick Drift on Any Controller — Xbox / PS5 / Switch,/how-to-fix-stick-drift,how to fix stick drift,"xbox stick drift fix, ps5 stick drift fix, controller drift repair",Troubleshooting,Problem Aware,High,80000,Very High,Diagnosis first (link to tester). Then 4 fix methods: compressed air / isopropyl alcohol / deadzone software / hardware replacement. Controller-specific sections.,3000,HowTo + FAQPage,"Tested each fix on real hardware. Include photos of cleaning process. Show tester before/after",P2-HUB P1-03 P2-11 P2-12 P5-01 P4-HUB,"fix stick drift, repair controller drift, stick drift solution","Test if your fix worked — use our free tester →",AdSense display (high CPM),99,Highest traffic article on site. Must be exceptional quality.
1,4,P2-02,P2 - Troubleshooting & Repair,Controller Not Connecting PC,Controller Not Connecting to PC — Complete Fix Guide (Windows 10/11),/controller-not-connecting-pc,controller not connecting to pc,"xbox controller not connecting windows, ps5 controller pc not detected, gamepad not working windows 11",Troubleshooting,Problem Aware,Medium,35000,Very High,Bluetooth vs USB troubleshooting split. Windows 10 vs 11 differences. Driver reinstall steps. Xbox Accessories app. DS4Windows for PS.,2500,HowTo + FAQPage,Screenshot each Windows step. Test on actual Windows 11.,P2-HUB P2-10 P3-01 P3-02 P3-HUB P1-06,"fix controller not connecting, controller pc setup","Controller connected? Test all inputs with our free tool →",AdSense display,96,Very high volume. Natural bridge to P3 compatibility pillar.
1,4,P2-03,P2 - Troubleshooting & Repair,Button Not Working,Gamepad Button Not Working — How to Diagnose and Fix,/gamepad-button-not-working,gamepad button not working,"controller button fix, stuck controller button, button not registering gamepad",Troubleshooting,Problem Aware,Medium,15000,High,Use tester to confirm button failure. Then: cleaning with isopropyl / contact spray / spring repair / replacement. When to give up and buy new.,2000,HowTo + FAQPage,Real photos of button cleaning process,P2-HUB P1-02 P1-HUB P2-13 P4-HUB,"fix gamepad button, repair controller button","Test which button is broken — use our free checker →",AdSense display,88,Strong how-to content. Internal link to buying guide.
1,4,P2-04,P2 - Troubleshooting & Repair,Controller Disconnecting,Xbox / PS Controller Keeps Disconnecting — 8 Fixes,/controller-keeps-disconnecting,xbox controller keeps disconnecting,"ps5 controller disconnecting, bluetooth controller drops, controller loses connection",Troubleshooting,Problem Aware,Medium,28000,Very High,Bluetooth interference / low battery / USB power saving / firmware. Platform-specific sections.,2200,HowTo + FAQPage,Test each fix scenario and document outcome,P2-HUB P2-07 P1-06 P3-HUB P6-02,"fix controller disconnecting, stop controller dropping","Test your connection stability with our tester →",AdSense display,91,High volume. Supports P6 technology content (Bluetooth).
